"2278 2501", 22.60
"2687 524", 26.20
"926 2614", 25.30
"2873 2428", 21.50
"2566 2273", 24.90
"1396 1931", 19.40
"2295 2428", 21.50
"403 2108", 22.60
"2407 1883", 23.00
"2645 2230", 22.10
"1914 2614", 23.40
"368 1716", 32.50
"926 1883", 29.70
"1914 2631", 22.00
"2337 1253", 21.60
"989 1060", 23.10
"1914 3000", 25.00
"2216 1552", 24.90
"1962 1763", 26.00
"2216 1169", 29.80
"2350 795", 28.60
"521 1163", 26.80
"2216 3000", 21.70
"2350 706", 19.80
"2378 1245", 24.40
"521 1733", 25.20
"816 1107", 29.40
"2804 2143", 20.70
"2378 1733", 31.10
"1209 1107", 21.40
"2776 2912", 22.90
"2804 2136", 22.50
"3000 2136", 25.40
"1584 1005", 23.00
"1516 1973", 22.40
"1209 1517", 23.40
"1584 1189", 21.60
"973 1517", 20.90
"5 547", 43.10
"1638 462", 28.30
"5 519", 25.30
"226 431", 31.70
"592 1977", 21.80
"2625 2790", 30.30
"2122 462", 26.50
"576 1583", 30.60
"2122 380", 20.10
"1629 58", 22.50
"2742 1629", 28.80
"1390 58", 21.90
"2815 590", 27.50
"1562 1390", 30.40
"2815 831", 21.80
"2871 831", 31.00
"933 2162", 26.20
"1390 447", 24.30
"536 1583", 19.60
"2704 1744", 23.40
"1390 311", 28.50
"26 1583", 26.70
"1482 1977", 29.50
"74 789", 25.50
"5 1583", 25.70
"245 2411", 17.80
"2054 2291", 22.40
"245 2528", 18.10
"1784 643", 22.00
"213 1583", 20.30
"5 2216", 46.70
"2191 643", 19.20
"1161 823", 19.80
"213 2538", 17.80
"2021 1583", 26.80
"5 350", 26.60
"213 3000", 26.60
"667 3000", 32.20
"631 1776", 21.50
"1442 403", 32.90
"565 3000", 20.50
"865 3000", 20.90
"427 2099", 21.90
"1613 2018", 23.40
"427 2279", 21.00
"1251 3000", 20.50
"2178 1664", 22.00
"427 1736", 21.60
"2851 2875", 23.50
"1048 2018", 23.70
"1038 380", 21.10
"566 1881", 23.70
"1304 380", 32.50
"871 2018", 19.20
"1649 1590", 22.20
"263 894", 27.20
"2391 995", 23.00
"956 1881", 19.60
"2851 2847", 31.50
"290 679", 18.30
"1925 2953", 20.30
"2763 2847", 25.30
"3000 2847", 22.20
"2936 1051", 24.50
"3000 2632", 20.10
"2348 1213", 21.80
"784 63", 30.40
"404 2608", 20.40
"2348 955", 26.30
"1583 1475", 33.20
"182 675", 19.80
"2214 473", 22.40
"182 820", 33.50
"2499 1099", 21.70
"1317 820", 28.60
"182 2968", 19.20
"2499 1344", 29.60
"2337 1750", 21.30
"2348 628", 22.50
"355 1204", 19.50
"2420 2644", 23.80
"2788 1200", 24.30
"1155 2728", 31.10
"2420 3000", 23.20
"301 2939", 23.20
"96 1371", 21.90
"2690 3000", 26.60
"890 2914", 23.00
"182 3000", 30.70
"2073 1423", 27.30
"993 2055", 24.50
"1029 1016", 19.30
"2718 3000", 23.00
"2752 1077", 25.10
"2584 43", 26.30
"2752 645", 20.30
"2051 2725", 23.10
"2752 1174", 20.50
"2907 112", 22.00
"3000 3000", 26.30
"2752 2584", 22.40
"1686 1174", 20.30
"93 980", 32.40
"1367 2459", 23.70
"2266 434", 21.60
"1837 2695", 28.70
"1258 365", 23.50
"2408 1958", 29.20
"321 2223", 34.60
"2753 750", 25.90
"3000 2584", 26.40
"121 736", 22.80
"2752 3000", 29.20
"1985 55", 30.60
"1219 1722", 32.10
"2752 2940", 22.20
"699 698", 28.80
"2752 2646", 22.50
"1615 1761", 20.80
"1696 2333", 22.10
"1615 1345", 23.30
"1640 385", 23.00
"1416 2004", 29.70
"2789 1517", 22.10
"1841 2004", 29.00
"1968 2004", 21.50
"276 1738", 20.70
"2789 1655", 22.80
"2781 198", 25.50
"418 1738", 31.50
"1968 2122", 21.90
"2576 1336", 22.70
"2153 2491", 19.90
"2172 2122", 24.10
"1558 910", 30.90
"479 2779", 19.20
"2781 1031", 26.50
"2828 296", 27.80
"2172 1911", 28.00
"2935 1437", 28.10
"74 713", 26.90
"2172 2358", 26.30
"862 5", 27.40
"1725 2358", 21.00
"1787 2626", 21.90
"773 5", 42.80
"336 5", 47.20
"796 2382", 23.20
"2202 180", 18.60
"1266 2358", 23.00
"2836 2247", 21.30
"268 1675", 23.00
"2202 494", 27.60
"2357 441", 22.20
"2436 586", 20.10
"2357 404", 31.30
"1574 2059", 27.30
"1893 1800", 21.40
"2607 586", 27.70
"2092 2750", 20.80
"2357 451", 31.60
"818 2928", 27.50
"2681 2914", 21.30
"1605 1800", 22.50
"2567 615", 20.80
"2029 1800", 24.80
"1458 669", 26.60
"1247 1779", 21.20
"1050 398", 31.10
"2567 691", 19.50
"1808 1800", 21.90
"1506 1982", 25.00
"403 1698", 29.40
"20 1471", 23.30
"2390 691", 25.40
"256 2149", 23.50
"2099 2149", 30.10
"789 1542", 22.60
"256 691", 19.00
"2186 2178", 21.90
"497 691", 31.70
"5 691", 29.80
"2533 1828", 23.10
"789 1521", 19.60
"621 2491", 21.80
"1814 2340", 26.20
